productname;newprice;oldprice;link
Thomy Reines Sonnenblumenöl 750ml;4,49;0;https://www.goflink.com//de-DE/shop/product/thomy-reines-sonnenblumenol-750ml-11010799/
Trüffelkönig Weißes Trüffelöl 100ml;23,99;0;https://www.goflink.com//de-DE/shop/product/truffelkonig-weisses-truffelol-100ml-11017029/
Trüffelkönig schwarzes Trüffelöl 100ml;20,99;0;https://www.goflink.com//de-DE/shop/product/truffelkonig-schwarzes-truffelol-100ml-11017030/
Bautzner Senf Mittelscharf 250g;1,49;0;https://www.goflink.com//de-DE/shop/product/bautzner-senf-kinderglas-250g-11010840/
Bavarian Sauce Company - Classic BBQ Sauce 250ml;3,99;0;https://www.goflink.com//de-DE/shop/product/bavarian-sauce-company-classic-bbq-sauce-250ml-11016767/
Bavarian Sauce Company - Gourmet Trüffel Ketchup 250ml;6,99;0;https://www.goflink.com//de-DE/shop/product/bavarian-sauce-company-gourmet-truffel-ketchup-250ml-11016766/
Bavarian Sauce Company - Orangen Senf Sauce 250ml;3,99;0;https://www.goflink.com//de-DE/shop/product/bavarian-sauce-company-orangen-senf-sauce-250ml-11016765/
Bull's Eye BBQ Sauce Steakhouse pikante Paprika 300ml;2,99;0;https://www.goflink.com//de-DE/shop/product/bulls-eye-bbq-sauce-steakhouse-pikante-paprika-300ml-11011987/
Bull's Eye BBQ Sauce Sweet Whiskey 300ml;2,99;0;https://www.goflink.com//de-DE/shop/product/bulls-eye-bbq-sauce-sweet-whiskey-300ml-11011989/
Burger Liebe Aioli Sauce 300ml;2,99;0;https://www.goflink.com//de-DE/shop/product/burger-liebe-aioli-sauce-300ml-11017340/
Burger Liebe Klassik Burger Sauce 300ml;2,99;0;https://www.goflink.com//de-DE/shop/product/burger-liebe-klassik-burger-sauce-300ml-11017342/
Develey Burger Sauce 250ml;1,79;0;https://www.goflink.com//de-DE/shop/product/develey-burger-sauce-250ml-11017592/
Develey Curry Sauce 250ml;1,79;0;https://www.goflink.com//de-DE/shop/product/develey-curry-sauce-250ml-11017338/
Develey Süß-sauer-Sauce 250ml;1,79;0;https://www.goflink.com//de-DE/shop/product/develey-suss-sauer-sauce-250ml-11017337/
Fairtrade Original Sweet Chili Sauce 250ml;2,89;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-sweet-chili-sauce-250ml-11015452/
Geeta's Premium Mango Chutney 320g;2,99;0;https://www.goflink.com//de-DE/shop/product/geetas-erstklassiges-mango-chutney-320g-11017339/
Georgsenf Classic 160ml;4,99;0;https://www.goflink.com//de-DE/shop/product/georgsenf-classic-160ml-11015739/
Heinz American Burger Sauce 400ml;2,29;0;https://www.goflink.com//de-DE/shop/product/heinz-american-burger-sauce-400ml-11015447/
Heinz Barbecue Sauce 220ml;1,59;0;https://www.goflink.com//de-DE/shop/product/heinz-barbecue-sauce-220ml-11015448/
Heinz Indian Style Curry Mango Sauce 220ml;1,59;0;https://www.goflink.com//de-DE/shop/product/heinz-indian-style-curry-mango-sauce-220ml-11017335/
Heinz Ketchup (weniger Zucker) 500ml;2,79;0;https://www.goflink.com//de-DE/shop/product/heinz-ketchup-weniger-zucker-500ml-11010829/
Heinz Knoblauch Sauce 220ml;1,59;0;https://www.goflink.com//de-DE/shop/product/heinz-knoblauch-sauce-220ml-11017587/
Heinz Sweet Chili 220ml;1,59;0;https://www.goflink.com//de-DE/shop/product/heinz-sweet-chilli-220ml-11012523/
Heinz Tomato Ketchup 500ml;2,79;0;https://www.goflink.com//de-DE/shop/product/heinz-tomato-ketchup-500ml-11010831/
Hela Curry-Gewürzketchup delikat 800ml;2,99;0;https://www.goflink.com//de-DE/shop/product/hela-curry-gewurzketchup-delikat-800ml-11015445/
Hellmann’s Real Mayonnaise 250ml;1,99;0;https://www.goflink.com//de-DE/shop/product/hellmanns-real-mayonnaise-250ml-11015449/
Hellmann’s Vegan Mayo 270g;2,79;0;https://www.goflink.com//de-DE/shop/product/hellmanns-vegan-mayo-270g-11015450/
Händlmaier's Bayerisch-süßer Hausmachersenf 335ml;1,89;0;https://www.goflink.com//de-DE/shop/product/handlmaiers-bayerisch-susser-hausmachersenf-335ml-11014455/
Käfer Hausmacher Senf süß 180ml;3,95;0;https://www.goflink.com//de-DE/shop/product/kafer-hausmacher-senf-suss-180ml-11012810/
Kühne Made for Veggies Knoblauchsauce mediterran vegan 235ml;1,69;0;https://www.goflink.com//de-DE/shop/product/kuhne-made-for-veggies-knoblauchsauce-mediterran-vegan-235ml-11017314/
Kühne Made for Veggies Teriyaki Sesam 235ml;1,69;0;https://www.goflink.com//de-DE/shop/product/kuhne-made-for-veggies-knoblauchsauce-teriyaki-sesam-235ml-11017312/
Löwensenf Extra 250ml;1,69;0;https://www.goflink.com//de-DE/shop/product/lowensenf-extra-250ml-11010834/
Löwensenf Mittelscharf Bio 250ml;1,69;0;https://www.goflink.com//de-DE/shop/product/lowensenf-mittelscharf-bio-250ml-11010832/
Maille Dijon Senf Honig Original 200ml;2,99;0;https://www.goflink.com//de-DE/shop/product/maille-dijon-senf-honig-original-200ml-11012340/
Maille Dijon Senf Original 200ml;2,29;0;https://www.goflink.com//de-DE/shop/product/maille-dijon-senf-original-200ml-11012339/
Maille Körniger Senf nach alter Art 200ml;2,99;0;https://www.goflink.com//de-DE/shop/product/maille-korniger-senf-nach-alter-art-200ml-11015446/
