productname;newprice;oldprice;link
Apple Kopfhörer EarPods mit Lightning Connector;15,90;19,00;https://www.goflink.com//de-DE/shop/product/apple-kopfhorer-earpods-mit-lightning-connector-11014154/
Beelitzer Spargel Weiß 500g (Deutschland);2,85;4,99;https://www.goflink.com//de-DE/shop/product/beelitzer-spargel-weiss-500g-deutschland-11017196/
Beelitzer Spargel Weiß geschält 400g (Deutschland);3,99;5,99;https://www.goflink.com//de-DE/shop/product/beelitzer-spargel-weiss-geschalt-400g-deutschland-11017197/
Broderick´s Cake Bar Caramel Slice 50g;1,19;1,59;https://www.goflink.com//de-DE/shop/product/broderick-s-cake-bar-caramel-slice-50g-11015610/
Broderick´s Cake Bar Crispy Peanut Butter 50g;1,19;1,59;https://www.goflink.com//de-DE/shop/product/broderick-s-cake-bar-crispy-peanut-butter-50g-11015609/
Broderick’s Brownie with Chocolate Coating 60g;1,19;1,59;https://www.goflink.com//de-DE/shop/product/brodericks-brownie-with-chocolate-coating-60g-11015608/
Brownie Star 65g;1,20;0;https://www.goflink.com//de-DE/shop/product/brownie-11015711/
Corona Extra 6x0,355l;6,49;7,79;https://www.goflink.com//de-DE/shop/product/corona-extra-6x0-355l-11016933/
Danone Actimel Drink Pur 8x100g;2,79;3,49;https://www.goflink.com//de-DE/shop/product/danone-actimel-drink-pur-8x100g-11010539/
Danone Activia Erdbeere 4x115g;1,49;1,99;https://www.goflink.com//de-DE/shop/product/danone-activia-erdbeere-4x115g-11010541/
Danone Activia Kirsche 4x115g;1,49;1,99;https://www.goflink.com//de-DE/shop/product/danone-activia-kirsche-4x115g-11011126/
Danone Fruchtzwerge Erdbeere, Kirsche, Himbeere 6x50g;1,49;1,79;https://www.goflink.com//de-DE/shop/product/danone-fruchtzwerge-erdbeere-kirsche-himbeere-6x50g-11014779/
Danone Fruchtzwerge Weniger Süß 6x50g;1,49;1,79;https://www.goflink.com//de-DE/shop/product/danone-fruchtzwerge-weniger-suss-6x50g-11011930/
Deutscher Spargel Weiß Geschält 400g (Deutschland);3,99;5,99;https://www.goflink.com//de-DE/shop/product/deutscher-spargel-weiss-geschalt-400g-deutschland-11017202/
