productname,size,newprice,oldprice,link
1 Stk. - Kamps Dinkelvollkornbrot vegan 500g,500g,"3,59",0,https://www.goflink.com//de-DE/shop/product/1-stk-kamps-dinkelvollkornbrot-vegan-500g-11017747/
1 Stk. - Kamps Meisterkornbrot vegan 750g,750g,"3,79",0,https://www.goflink.com//de-DE/shop/product/1-stk-kamps-meisterkornbrot-vegan-750g-11017746/
2 Stk. - Bäckerei Lyck Mandelhörnchen,Mandelhörnchen,"2,49",0,https://www.goflink.com//de-DE/shop/product/2-stk-backerei-lyck-mandelhornchen-11017737/
2 Stk. - Bäckerei Lyck Roggenbrötchen,Roggenbrötchen,"1,99",0,https://www.goflink.com//de-DE/shop/product/2-stk-backerei-lyck-roggenbrotchen-11017739/
Brodowin Naturjoghurt 500ml Glas,Glas,"1,79",0,https://www.goflink.com//de-DE/shop/product/brodowin-naturjoghurt-500ml-glas-11017362/
Houdek Kabanos Klassik 150g (2x75g),2x75g,"2,79",0,https://www.goflink.com//de-DE/shop/product/houdek-kabanos-klassik-150g-2x75g-11017869/
Coppenrath & Wiese Unsere Goldstücke Laugenbrötchen 440g (6 Stück),Stück,"2,79",0,https://www.goflink.com//de-DE/shop/product/coppenrath-and-wiese-unsere-goldstucke-laugenbrotchen-440g-6-stuck-11017649/
Costa Lachsfilets 450g (3 Stück),Stück,"12,49",0,https://www.goflink.com//de-DE/shop/product/costa-lachsfilets-450g-3-stuck-11017433/
Iglo Chicken Nuggets Cheese 250g,250g,"2,99",0,https://www.goflink.com//de-DE/shop/product/iglo-chicken-nuggets-cheese-250g-11017834/
Iglo Feine Landschnitzel Wiener Art 350g (2 Stück),Stück,"4,69",0,https://www.goflink.com//de-DE/shop/product/iglo-feine-landschnitzel-wiener-art-350g-2-stuck-11017429/
Iglo Rahm-Blumenkohl 480g,480g,"2,89",0,https://www.goflink.com//de-DE/shop/product/iglo-rahm-blumenkohl-480g-11017778/
Original Wagner Steinofen Piccolinis Drei Käse 270g (3x90g),3x90g,"2,99",0,https://www.goflink.com//de-DE/shop/product/original-wagner-steinofen-piccolinis-drei-kase-270g-3x90g-11017494/
Pickers by McCain Crispy Onion Rings 350g,350g,"2,89",0,https://www.goflink.com//de-DE/shop/product/pickers-by-mccain-crispy-onion-rings-350g-11017420/
REWE Beste Wahl 10 Mini Frühlingsrollen 280g,280g,"1,99",0,https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-10-mini-fruhlingsrollen-280g-11017658/
REWE Beste Wahl Frühlingsrolle mit Zartem Hühnerfleisch 150g,150g,"0,95",0,https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-fruhlingsrolle-mit-zartem-huhnerfleisch-150g-11017496/
REWE Bio White Tiger Garnelen 256g,256g,"6,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-white-tiger-garnelen-256g-11017749/
REWE Feine Welt Macarons 72g (6 Stück),Stück,"2,99",0,https://www.goflink.com//de-DE/shop/product/rewe-feine-welt-macarons-72g-6-stuck-11017492/
Walter Gott Ice Cubes 2kg,2kg,"2,59",0,https://www.goflink.com//de-DE/shop/product/walter-gott-ice-cubes-2kg-11017659/
Cau Tre Reispapier rund 22cm 280g,280g,"3,19",0,https://www.goflink.com//de-DE/shop/product/cau-tre-reispapier-rund-22cm-280g-11017720/
Mahlgard Kaffee Wachgeküsst Ganze Bohne 250g,250g,"8,99",0,https://www.goflink.com//de-DE/shop/product/mahlgard-kaffee-wachgekusst-ganze-bohne-250g-11017288/
Mahlgrad Espresso Herzmassage Ganze Bohne 250g,250g,"8,99",0,https://www.goflink.com//de-DE/shop/product/mahlgrad-espresso-herzmassage-ganze-bohne-250g-11017285/
Mahlgrad Espresso Herzmassage Ganze Bohne 500g,500g,"14,99",0,https://www.goflink.com//de-DE/shop/product/mahlgrad-espresso-herzmassage-ganze-bohne-500g-11017286/
Mahlgrad Espresso Schlaflos Ganze Bohne 250g,250g,"8,99",0,https://www.goflink.com//de-DE/shop/product/mahlgrad-espresso-schlaflos-ganze-bohne-250g-11017287/
Mahlgrad Espresso Schlaflos Ganze Bohne 500g,500g,"14,99",0,https://www.goflink.com//de-DE/shop/product/mahlgrad-espresso-schlaflos-ganze-bohne-500g-11017290/
Mahlgrad Kaffee Meisterstück Ganze Bohne 250g,250g,"8,99",0,https://www.goflink.com//de-DE/shop/product/mahlgrad-kaffee-meisterstuck-ganze-bohne-250g-11017289/
Rabenschwarz Kaffee Brasilien Fazenda Dutra Ganze Bohne 250g,250g,"6,99",0,https://www.goflink.com//de-DE/shop/product/rabenschwarz-kaffee-brasilien-fazenda-dutra-ganze-bohne-250g-11017409/
Rabenschwarz Kaffee Espresso Fazenda Dutra Ganze Bohne 250g,250g,"6,99",0,https://www.goflink.com//de-DE/shop/product/rabenschwarz-kaffee-espresso-fazenda-dutra-ganze-bohne-250g-11017404/
Rabenschwarz Kaffee Espresso achtzigzwanzig Ganze Bohne 250g,250g,"6,99",0,https://www.goflink.com//de-DE/shop/product/rabenschwarz-kaffee-espresso-achtzigzwanzig-ganze-bohne-250g-11017406/
Rabenschwarz Kaffee Espresso rabenschwarz Ganze Bohne 250g,250g,"6,99",0,https://www.goflink.com//de-DE/shop/product/rabenschwarz-kaffee-espresso-rabenschwarz-ganze-bohne-250g-11017405/
Rabenschwarz Kaffee Guatemala Finca Ceylan Ganze Bohne 250g,250g,"6,99",0,https://www.goflink.com//de-DE/shop/product/rabenschwarz-kaffee-guatemala-finca-ceylan-ganze-bohne-250g-11017407/
Rabenschwarz Kaffee Äthiopien Yirgacheffe Ganze Bohne 250g,250g,"7,49",0,https://www.goflink.com//de-DE/shop/product/rabenschwarz-kaffee-athiopien-yirgacheffe-ganze-bohne-250g-11017408/
Kellogg's Froot Loops Cerealien 375g,375g,"2,99",0,https://www.goflink.com//de-DE/shop/product/kelloggs-froot-loops-cerealien-375g-11017328/
Burger Liebe Aioli Sauce 300ml,300ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/burger-liebe-aioli-sauce-300ml-11017340/
Develey Curry Sauce 250ml,250ml,"1,89",0,https://www.goflink.com//de-DE/shop/product/develey-curry-sauce-250ml-11017338/
Kinjirushi Wasabi 43g,43g,"2,99",0,https://www.goflink.com//de-DE/shop/product/kinjirushi-wasabi-43g-11017847/
Schwartau Schokosauce 250ml,250ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/schwartau-schokosauce-250ml-11017841/
P&W Gurken Relish 225g,225g,"1,39",0,https://www.goflink.com//de-DE/shop/product/pandw-gurken-relish-225g-11017326/
Becks Gold 6x0.33l,"6x0,33l","5,29",0,https://www.goflink.com//de-DE/shop/product/becks-gold-6x0-33l-11017344/
Becks unfiltered 6x0.33l,"6x0,33l","5,79",0,https://www.goflink.com//de-DE/shop/product/becks-unfiltered-6x0-33l-11017347/
Braustüb'l Naturtrübes Helles 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/braustubl-naturtrubes-helles-0-33l-11017674/
Braustüb'l Pilsner 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/braustubl-pilsner-0-33l-11017723/
Eichbaum Helles 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/eichbaum-helles-0-33l-11017732/
Eichbaum Kellerbier 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/eichbaum-kellerbier-0-33l-11017733/
Grohe Pale Ale 0.33l,"0,33l","1,29",0,https://www.goflink.com//de-DE/shop/product/grohe-pale-ale-0-33l-11017677/
MARX Städter Himbeer-Radler Flasche 0.33l,"0,33l","0,89",0,https://www.goflink.com//de-DE/shop/product/marx-stadter-himbeer-radler-flasche-0-33l-11017725/
MARX Städter Natur-Radler Flasche 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/marx-stadter-natur-radler-flasche-0-33l-11017724/
MARX Städter Pils Flasche 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/marx-stadter-pils-flasche-0-33l-11017726/
Farnese Lunatico Nero d'Avola Sicilia IGT 0.75l,"0,75l","5,99",0,https://www.goflink.com//de-DE/shop/product/farnese-lunatico-nero-davola-sicilia-igt-0-75l-11017802/
Farnese Lunatico Primitivo Puglia IGT 0.75l,"0,75l","5,99",0,https://www.goflink.com//de-DE/shop/product/farnese-lunatico-primitivo-puglia-igt-0-75l-11017803/
Fleur de d'Artagnan Rosé Côtes de Gascogne IGP. 0.75l,"0,75l","5,99",0,https://www.goflink.com//de-DE/shop/product/fleur-de-dartagnan-rose-cotes-de-gascogne-igp-0-75l-11017828/
Le Jaja de Jau Rosé Languedoc Pays d´Oc IGP. 0.75l,"0,75l","6,99",0,https://www.goflink.com//de-DE/shop/product/le-jaja-de-jau-rose-languedoc-pays-d-oc-igp-0-75l-11017826/
MAN Skaapveld Shiraz WO. Coastal Region 0.75l,"0,75l","6,99",0,https://www.goflink.com//de-DE/shop/product/man-skaapveld-shiraz-wo-coastal-region-0-75l-11017800/
"Markus Pfaffmann Cuvée Rosé QbA. Pfalz trocken ""Rosé Rosé Rosé"" Special Edition 0.75l","0,75l","7,99",0,https://www.goflink.com//de-DE/shop/product/markus-pfaffmann-cuvee-rose-qba-pfalz-trocken-rose-rose-rose-special-edition-0-75l-11017824/
Montes Kaiken Estate Malbec Mendoza 0.75l,"0,75l","8,99",0,https://www.goflink.com//de-DE/shop/product/montes-kaiken-estate-malbec-mendoza-0-75l-11017798/
Penfolds Koonunga Hill Shiraz Cabernet South Australia 0.75l,"0,75l","9,99",0,https://www.goflink.com//de-DE/shop/product/penfolds-koonunga-hill-shiraz-cabernet-south-australia-0-75l-11017799/
"Pfaffmann Grauburgunder QbA. Pfalz trocken ""Bei Nacht"" Special Edition 0.75l","0,75l","7,99",0,https://www.goflink.com//de-DE/shop/product/markus-pfaffmann-grauburgunder-qba-pfalz-trocken-bei-nacht-special-edition-0-75l-11017821/
Grill Briketts aus Buchenholz 3KG Beutel,Beutel,"9,49",0,https://www.goflink.com//de-DE/shop/product/grill-briketts-aus-buchenholz-3kg-beutel-11017722/
Rewe Beste Wahl Grill & Kamin Anzünder Öko 32 Stück,Stück,"2,99",0,https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-grill-and-kamin-anzunder-oko-32-stuck-11017721/
