productname,size,newprice,oldprice,link
Hansano Weidemilch 1.8% Fett. 1l,1l,"1,39",0,https://www.goflink.com//de-DE/shop/product/hansano-weidemilch-1-8-1l-11010188/
Hansano Weidemilch 3.9% Fett. 1l,1l,"1,39",0,https://www.goflink.com//de-DE/shop/product/hansano-weidemilch-3-9-1l-11010187/
Hemme Frische Milch 1.5% 1l Nieds.,Nieds.,"1,29",0,https://www.goflink.com//de-DE/shop/product/hemme-frische-milch-1-5-1l-nieds-11014591/
Hemme Frische Vollmilch 3.7% 1l Nieds.,Nieds.,"1,39",0,https://www.goflink.com//de-DE/shop/product/hemme-frische-vollmilch-3-7-1l-nieds-11014590/
Hemme Frischmilch 1.8%,"1,8%","1,29",0,https://www.goflink.com//de-DE/shop/product/hemme-frischmilch-1-8-11013523/
Hemme fr. Vollmilch 3.7%,"3,7%","1,39",0,https://www.goflink.com//de-DE/shop/product/hemme-fr-vollmilch-3-7-11013524/
Sachsenmilch Frische Vollmilch 1.5% 1l,1l,"1,19",0,https://www.goflink.com//de-DE/shop/product/sachsenmilch-frische-vollmilch-1-5-1l-11013519/
Sachsenmilch Frische Vollmilch 3.5% 1l,1l,"1,29",0,https://www.goflink.com//de-DE/shop/product/sachsenmilch-frische-vollmilch-3-5-1l-11013520/
Schwarzwaldmilch Bio Frische Heumilch 1.5%. 1l,1l,"1,69",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-bio-frische-heumilch-1-5-1l-11013472/
Schwarzwaldmilch Bio Frische Heumilch 3.8%. 1l,1l,"1,79",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-bio-frische-heumilch-3-8-1l-11013468/
Schwarzwaldmilch Protein Frische Milch 0.9% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-frische-milch-0-9-1l-11015901/
Schwälbchen Frische Milch 1.8 % 1l,1l,"1,39",0,https://www.goflink.com//de-DE/shop/product/schwalbchen-frische-milch-1-8-1l-11013543/
Schwälbchen Frische Milch 3.8 % 1l,1l,"1,49",0,https://www.goflink.com//de-DE/shop/product/schwalbchen-frische-milch-3-8-1l-11013540/
Söbbecke Demeter Vollmilch 3.7% 1l,1l,"1,89",0,https://www.goflink.com//de-DE/shop/product/sobbecke-demeter-vollmilch-3-7-1l-11014739/
Tuffi Fettarme Frischmilch 1.5% 1l,1l,"1,19",0,https://www.goflink.com//de-DE/shop/product/tuffi-fettarme-frischmilch-1-5-1l-11013493/
Tuffi Frische Vollmilch 3.5% 1l,1l,"1,29",0,https://www.goflink.com//de-DE/shop/product/tuffi-frische-vollmilch-3-5-1l-11013492/
Arla Bio Weidemilch Haltbar 1.5% Fett. 1l,1l,"1,69",0,https://www.goflink.com//de-DE/shop/product/arla-bio-weidemilch-haltbar-1-5-1l-11011558/
Arla Bio Weidemilch Haltbar 3.8% Fett. 1l,1l,"1,79",0,https://www.goflink.com//de-DE/shop/product/arla-bio-weidemilch-haltbar-3-8-1l-11011559/
Bercht. Land Haltbare Bio Alpenmilch 1.5% 1l,1l,"1,39",0,https://www.goflink.com//de-DE/shop/product/bercht-land-haltbare-bio-alpenmilch-1-5-1l-11013512/
Bercht. Land Haltbare Bio Alpenmilch 3.5% 1l,1l,"1,49",0,https://www.goflink.com//de-DE/shop/product/bercht-land-haltbare-bio-alpenmilch-3-5-1l-11013511/
Bärenmarke Haltbare Milch 1.5% Fett. 1l,1l,"1,29",0,https://www.goflink.com//de-DE/shop/product/barenmarke-h-milch-1-5-1l-11010186/
