productname,size,newprice,oldprice,link
Grey Goose Vodka 40% vol. 0.7l,"0,7l","38,99",0,https://www.goflink.com//de-DE/shop/product/grey-goose-vodka-40-700ml-11013281/
Russian Standard 40% vol. 0.7l,"0,7l","4,20","13,99",https://www.goflink.com//de-DE/shop/product/russian-standard-40-0-7l-11010034/
Smirnoff Vodka 37.5% vol. 0.7l,"0,7l","12,99",0,https://www.goflink.com//de-DE/shop/product/smirnoff-vodka-37-5-0-7l-11010035/
Three Sixty Vodka 37.5% vol. 0.7l,"0,7l","12,99",0,https://www.goflink.com//de-DE/shop/product/three-sixty-vodka-37-5-700ml-11013252/
Wodka Gorbatschow 37.5% vol. 0.7l,"0,7l","8,99",0,https://www.goflink.com//de-DE/shop/product/wodka-gorbatschow-37-5-0-7l-11010036/
Alde Gott Eierlikör mit Kirschwasser 18% vol. 0.35l,"0,35l","6,69",0,https://www.goflink.com//de-DE/shop/product/alde-gott-eierlikor-mit-kirschwasser-18-vol-0-35l-11015819/
Baileys Original Irish Cream Likör 17% vol. 0.7l,"0,7l","13,99",0,https://www.goflink.com//de-DE/shop/product/baileys-original-17-0-7l-11012381/
Batida de Côco Kokoslikör 16% vol. 0.7l,"0,7l","9,99",0,https://www.goflink.com//de-DE/shop/product/batida-de-coco-kokoslikor-16-vol-700ml-11012992/
Berliner Luft Pfefferminzlikör 18% vol. 0.7l,"0,7l","7,99",0,https://www.goflink.com//de-DE/shop/product/berliner-luft-pfefferminzlikor-0-7l-11011290/
Bomb Eierlikör 17% vol.  0.70l,"0,70l","7,20","23,99",https://www.goflink.com//de-DE/shop/product/jacopo-poli-bomb-liquore-a-base-di-uova-eierlikor-0-7-l-11015732/
DSM Limoncello 28.5% vol. 0.35l,"0,35l","26,99",0,https://www.goflink.com//de-DE/shop/product/dsm-limoncello-28-5-vol-0-35l-11015768/
Drilling´s Fränzchen Likör 30% vol. 0.5l,"0,5l","30,99",0,https://www.goflink.com//de-DE/shop/product/drilling-s-franzchen-likor-30-vol-0-5l-11015764/
