productname;newprice;oldprice;link
Ben & Jerry's Cookie Dough Peace Pop 240ml (3x80ml);3,99;0;https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-cookie-dough-peace-pop-240ml-3x80ml-11017226/
Langnese Likkies Strawberry Cheesecake 420ml (5x84ml);3,49;0;https://www.goflink.com//de-DE/shop/product/langnese-likkies-strawberry-cheesecake-420ml-5x84ml-11017403/
Langnese Star Wars Yoda Shaped Ice Cream 360ml (6x60ml);3,49;0;https://www.goflink.com//de-DE/shop/product/langnese-star-wars-yoda-shaped-ice-cream-360ml-6x60ml-11017402/
Zitrone 1 Stk. (Italien);0,99;0;https://www.goflink.com//de-DE/shop/product/zitrone-1-stk-italien-11017655/
Beets & Roots Plate Hummus Falafel 400g;9,39;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-falafel-and-hummus-plate-400g-11017638/
Beets & Roots Plate Protein Chicken 400g;9,99;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-protein-chicken-plate-400g-11017639/
Beets & Roots Plate Thai Noodle 415g;9,39;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-thai-noodle-plate-415g-11017640/
Brousins Homemade Couscous Boulette mit Rote-Beete-Hummus. Aubergine. Granatapfel 370g;7,89;0;https://www.goflink.com//de-DE/shop/product/brousins-homemade-couscous-boulette-mit-rote-beete-hummus-aubergine-granatapfel-370g-11017695/
Brousins Homemade Kaiserschmarrn mit Karamellbutter & Zwetschgenkompott 290g;5,99;0;https://www.goflink.com//de-DE/shop/product/brousins-homemade-kaiserschmarrn-mit-karamellbutter-and-zwetschgenkompott-290g-11017697/
Brousins Homemade Sushireiskuchen mit asiatischem Salat in Matcha-Dressing 315g;7,29;0;https://www.goflink.com//de-DE/shop/product/brousins-homemade-sushireiskuchen-mit-asiatischem-salat-in-matcha-dressing-315g-11017698/
Brousins Homemade Ziegenkäse mit Würz-Crunch und mariniertem Grillgemüse 305g;8,39;0;https://www.goflink.com//de-DE/shop/product/brousins-homemade-ziegenkase-mit-wurz-crunch-und-mariniertem-grillgemuse-305g-11017696/
Eat Happy Sushi Califuto Lachs 249g;8,39;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-califuto-lachs-249g-11017644/
Kösters Gazpacho Spanische Gemüsesuppe vegan 480 ml;3,99;0;https://www.goflink.com//de-DE/shop/product/kosters-gazpacho-spanische-gemusesuppe-vegan-480-ml-11017652/
Kösters Indische Erbsen Suppe vegan 480 ml;3,99;0;https://www.goflink.com//de-DE/shop/product/kosters-indische-erbsen-suppe-vegan-480-ml-11017653/
Kösters Italienische Tomaten-Suppe vegan 480 ml;3,99;0;https://www.goflink.com//de-DE/shop/product/kosters-italienische-tomaten-suppe-vegan-480-ml-11017651/
Kösters Orientalische Linsensuppe vegan 480 ml;3,99;0;https://www.goflink.com//de-DE/shop/product/kosters-orientalische-linsensuppe-vegan-480-ml-11017654/
Kösters Thailändische Gemüsesuppe mit Kokosmilch vegan 480 ml;3,99;0;https://www.goflink.com//de-DE/shop/product/kosters-thailandische-gemusesuppe-mit-kokosmilch-vegan-480-ml-11017650/
MaKE. Gyros Bowl Vegan 420g;9,99;0;https://www.goflink.com//de-DE/shop/product/make-gyros-bowl-vegan-420g-11017646/
Nothwang Karotten-Ingwer Suppe 400g;4,99;0;https://www.goflink.com//de-DE/shop/product/nothwang-karotten-ingwer-suppe-400g-11017633/
Nothwang Lasagne Rosalba 400g;6,49;0;https://www.goflink.com//de-DE/shop/product/nothwang-lasagne-rosalba-400g-11017632/
Nothwang Omas Ofenschlupfer 400g;5,99;0;https://www.goflink.com//de-DE/shop/product/nothwang-omas-ofenschlupfer-400g-11017634/
Pahmeyer Gemüsetaler 240g;1,99;0;https://www.goflink.com//de-DE/shop/product/pahmeyer-gemusetaler-240g-11017596/
Pahmeyer Reibekuchen Minis 300g;1,99;0;https://www.goflink.com//de-DE/shop/product/pahmeyer-reibekuchen-mini-300g-11017595/
Popp Brotaufstrich Alaska-Seelachs 150g;1,69;0;https://www.goflink.com//de-DE/shop/product/popp-aufstrich-seelachs-150g-11017594/
Popp Feiner Gurkensalat 400g;1,99;0;https://www.goflink.com//de-DE/shop/product/popp-gurkensalat-400g-11017597/
REWE To Go Obst Melonen-Mix 300g;2,99;0;https://www.goflink.com//de-DE/shop/product/rewe-to-go-melonenmix-300g-11017694/
REWE To Go Obst Wassermelone 200g;1,49;0;https://www.goflink.com//de-DE/shop/product/rewe-to-go-wassermelonenwurfel-200g-11017643/
