productname;newprice;oldprice;link
Le Jaja de Jau Sauvignon Blanc Languedoc Pays d´Oc IGP. 0,75l;6,99;0;https://www.goflink.com//de-DE/shop/product/le-jaja-de-jau-sauvignon-blanc-languedoc-pays-d-oc-igp-0-75l-11017823/
Les Dauphins Blanc Côtes du Rhone AOC. 0,75l;7,99;0;https://www.goflink.com//de-DE/shop/product/les-dauphins-blanc-cotes-du-rhone-aoc-0-75l-11017817/
MAN Free-run Steen Chenin Blanc WO. Coastal Region 0,75l;6,99;0;https://www.goflink.com//de-DE/shop/product/man-free-run-steen-chenin-blanc-wo-coastal-region-0-75l-11017797/
Mandrarossa Grillo Sicilia Costadune 0,75l;3,49;6,99;https://www.goflink.com//de-DE/shop/product/mandarossa-grillo-sicilia-costadune-0-75l-11012529/
Markus Molitor Blauschiefer Riesling 0,75l;5,49;10,99;https://www.goflink.com//de-DE/shop/product/markus-molitor-blauschiefer-riesling-0-75l-11011734/
"Markus Pfaffmann Grauburgunder QbA. Pfalz trocken ""Bei Nacht"" Special Edition 0,75l";7,99;0;https://www.goflink.com//de-DE/shop/product/markus-pfaffmann-grauburgunder-qba-pfalz-trocken-bei-nacht-special-edition-0-75l-11017821/
Maybach Riesling QbA 0,75l;4,49;0;https://www.goflink.com//de-DE/shop/product/maybach-riesling-qba-trocken-12-vol-750ml-11013353/
Maybach Weißburgunder QbA 0,75l;4,49;0;https://www.goflink.com//de-DE/shop/product/maybach-weissburgunder-qba-trocken-115-vol-750ml-11013354/
Mister Riesling Weinschorle 0,25l;2,99;0;https://www.goflink.com//de-DE/shop/product/mister-riesling-weinschorle-0-25l-11015382/
Montes Reserva Sauvignon Blanc Chile 0,75l;8,99;0;https://www.goflink.com//de-DE/shop/product/montes-reserva-sauvignon-blanc-chile-0-75l-11017816/
Oliver Zeter Sauvignon Blanc Pfalz Qba. 0,75l;11,99;0;https://www.goflink.com//de-DE/shop/product/oliver-zeter-sauvignon-blanc-pfalz-qba-0-75l-11016744/
Oyster Bay Sauvignon Blanc Marlborough 0,75l;7,99;0;https://www.goflink.com//de-DE/shop/product/oyster-bay-sauvignon-blanc-marlborough-0-75l-11011733/
San Valentin Blanco Torres 0,75l;3,74;7,49;https://www.goflink.com//de-DE/shop/product/san-valentin-blanco-torres-0-75l-11016014/
Schörli Isarspritz weiß 0,33l;2,49;0;https://www.goflink.com//de-DE/shop/product/schorli-isarspritz-weiss-0-33l-11017135/
Stift Göttweig Grüner Veltliner 0,75l;4,74;9,49;https://www.goflink.com//de-DE/shop/product/stift-gottweig-gruner-veltliner-0-75l-11012528/
Van Volxem Riesling 0,75l;3,90;12,99;https://www.goflink.com//de-DE/shop/product/van-volxem-riesling-0-75l-11011737/
